331,39,38,42
335,33,38,42
335,28,36,36
335,20,38,38
337,16,39,38
341,17,39,38
345,24,36,39
352,30,37,39
358,35,39,42
367,46,36,40
360,56,35,40
365,62,35,37
366,62,41,40
363,62,37,38
357,54,34,34
348,40,36,40
339,36,37,37
328,30,37,40
327,28,37,38
318,22,38,40
318,20,40,37
321,23,31,35
321,27,34,40
328,31,36,38
328,32,38,37
331,34,41,40
336,37,41,38
339,34,39,37
338,30,38,37
340,24,39,37
345,24,41,36
355,28,39,36
367,35,39,38
379,45,40,41
391,63,40,40
401,82,35,39
393,102,35,39
410,101,35,39
408,93,35,39
420,72,34,38
421,96,34,38
398,119,34,38
393,115,31,36
387,96,35,40
379,79,36,39
364,58,39,41
358,40,35,40
333,19,36,38
313,19,38,39
300,21,36,38
299,22,38,37
299,26,39,36
300,34,37,33
309,35,37,33
311,36,37,34
307,29,39,35
304,25,39,35
297,20,40,36
300,15,38,37
302,14,37,39
294,18,39,41
298,17,39,41
308,14,39,40
320,9,41,43
327,9,38,38
323,11,41,41
321,15,35,41
325,19,33,37
333,18,37,37
325,14,40,36
314,11,39,39
321,3,41,45
311,5,36,42
308,4,40,42
291,9,41,46
287,31,38,44
280,37,39,42
285,46,39,42
275,43,39,42
269,43,39,42
283,59,39,42
308,58,38,41
281,36,38,41
300,45,38,41
336,48,38,41
319,79,38,41
296,91,39,42
260,99,38,40
248,75,39,40
230,57,40,39
218,38,38,41
229,16,38,41
214,12,38,41
187,15,40,44
196,14,38,41
194,25,38,41
180,42,41,40
170,54,41,38
164,59,42,41
165,48,38,45
